Date,First Day Percent change,Month Avg Percent change,Difference
2019-09,-0.81,0.13052631578947368,-0.9405263157894738
2019-10,-0.33,0.10772727272727271,-0.43772727272727274
2019-11,0.78,0.14736842105263157,0.6326315789473684
2019-12,-0.55,0.15050000000000002,-0.7005000000000001
2020-01,0.77,0.003999999999999987,0.766
2020-02,0.11,-0.6072222222222222,0.7172222222222222
2020-03,3.79,-0.641904761904762,4.431904761904762
2020-04,-4.65,0.8130000000000001,-5.463
2020-05,-2.28,0.32999999999999996,-2.61
2020-06,0.76,0.06333333333333331,0.6966666666666667
2020-07,1.14,0.19952380952380955,0.9404761904761904
2020-08,1.46,0.311,1.149
2020-09,0.21,-0.201,0.41100000000000003
2020-10,0.36,-0.15285714285714286,0.5128571428571429
2020-11,1.09,0.4784210526315789,0.6115789473684212
2020-12,1.32,0.10476190476190475,1.2152380952380952
2021-01,-0.73,0.032222222222222215,-0.7622222222222222
2021-02,0.51,0.10555555555555556,0.40444444444444444
2021-03,1.39,0.12136363636363638,1.2686363636363636
2021-04,0.65,0.22000000000000003,0.43
2021-05,0.29,0.01789473684210527,0.27210526315789474
2021-06,0.12,0.08952380952380953,0.030476190476190462
2021-07,0.36,0.10500000000000001,0.255
2021-08,0.06,0.1285714285714286,-0.06857142857142859
2021-09,0.13,-0.20650000000000004,0.3365
2021-10,-0.29,0.28850000000000003,-0.5785
2021-11,0.43,-0.003999999999999992,0.434
2021-12,-0.47,0.2014285714285714,-0.6714285714285714
2022-01,0.02,-0.34736842105263155,0.36736842105263157
2022-02,1.15,-0.19833333333333333,1.3483333333333332
2022-03,-0.53,0.24863636363636363,-0.7786363636363637
2022-04,-0.85,-0.39473684210526316,-0.4552631578947368
2022-05,-1.93,0.0365,-1.9665
2022-06,-0.4,-0.42000000000000004,0.020000000000000018
2022-07,0.32,0.43105263157894735,-0.11105263157894735
2022-08,0.26,-0.1481818181818182,0.4081818181818182
2022-09,-1.2,-0.40049999999999997,-0.7995
2022-10,0.66,0.3095,0.35050000000000003
2022-11,-0.02,0.17549999999999996,-0.19549999999999995
2022-12,1.65,-0.31849999999999995,1.9685
2023-01,0.43,0.28736842105263155,0.14263157894736844
2023-02,1.09,-0.14777777777777776,1.2377777777777779
2023-03,-0.7,0.14954545454545454,-0.8495454545454545
2023-04,0.73,0.048333333333333346,0.6816666666666666
2023-05,0.65,0.009999999999999998,0.64
2023-06,0.51,0.279,0.23099999999999998
2023-07,0.2,0.1568421052631579,0.04315789473684212
2023-08,-0.17,-0.055,-0.11500000000000002
2023-09,0.03,-0.2573684210526316,0.2873684210526316
2023-10,-0.55,-0.11714285714285715,-0.4328571428571429
2023-11,1.13,0.381,0.7489999999999999
2023-12,0.52,0.21999999999999997,0.30000000000000004
2024-01,-0.66,0.14450000000000002,-0.8045
2024-02,0.09,0.21894736842105259,-0.1289473684210526
2024-03,0.66,0.14210526315789473,0.5178947368421053
